Date,Actual_Demand,Forecast_Demand,Resource_Allocation
2024-04-24,184.8160432204595,190.118066725308,HIGH (Scale up resources)
2024-04-25,175.58248398876222,190.11806672529949,HIGH (Scale up resources)
2024-04-26,169.75225694490157,190.11806672529426,HIGH (Scale up resources)
2024-04-27,165.3789105688759,190.11806672529565,HIGH (Scale up resources)
2024-04-28,180.73389747352715,190.11806672529593,HIGH (Scale up resources)
2024-04-29,173.97145304281375,190.11806672529792,HIGH (Scale up resources)
2024-04-30,169.59911878601093,190.1180667252986,HIGH (Scale up resources)
2024-05-01,176.79663174604585,190.11806672529718,HIGH (Scale up resources)
2024-05-02,174.34433881241978,190.11806672529687,HIGH (Scale up resources)
2024-05-03,197.55498143104765,190.118066725297,HIGH (Scale up resources)
2024-05-04,192.20380086334947,190.1180667252971,HIGH (Scale up resources)
2024-05-05,186.20945696926614,190.1180667252974,HIGH (Scale up resources)
2024-05-06,199.26300463974036,190.11806672529738,HIGH (Scale up resources)
2024-05-07,189.2181374491801,190.1180667252972,HIGH (Scale up resources)
2024-05-08,182.90798670338813,190.1180667252972,HIGH (Scale up resources)
2024-05-09,203.2033974144814,190.1180667252972,HIGH (Scale up resources)
2024-05-10,196.56859718585255,190.11806672529724,HIGH (Scale up resources)
2024-05-11,185.21467250372058,190.11806672529727,HIGH (Scale up resources)
2024-05-12,193.2592741935299,190.11806672529724,HIGH (Scale up resources)
2024-05-13,189.057965389223,190.1180667252972,HIGH (Scale up resources)
2024-05-14,186.29056715032985,190.1180667252972,HIGH (Scale up resources)
